x,y
656.81445,0.45479107
656.95129,0.45496267
657.08813,0.45033786
657.22498,0.44722497
657.36182,0.44411108
657.49866,0.44098356
657.6355,0.43969771
657.77228,0.43841109
657.90912,0.43823028
658.04596,0.4354772
658.1828,0.43212628
658.31964,0.42877293
658.45648,0.4184905
658.59332,0.40035173
658.73016,0.38222867
658.867,0.36560842
659.00385,0.35972741
659.14069,0.35532483
659.27753,0.35092118
659.41437,0.34900272
659.55115,0.34771445
659.68799,0.34638584
659.82483,0.34548634
659.96167,0.34412983
660.09851,0.33991587
660.23535,0.33570015
660.37219,0.32824704
660.50903,0.32193977
660.64587,0.3160679
660.78271,0.31020337
660.91956,0.30360574
661.0564,0.29979444
661.19324,0.29598349
661.33008,0.29293424
661.46686,0.29331028
661.6037,0.29369542
661.74054,0.29442537
661.87738,0.29794648
662.01422,0.3029063
662.15106,0.30786437
662.2879,0.3107256
662.42474,0.31049237
662.56158,0.31004402
662.69843,0.30984914
662.83527,0.31060001
662.97211,0.31208187
663.10895,0.31356272
663.24579,0.31468901
663.38257,0.31614295
663.51941,0.31572568
663.65625,0.31530944
663.79309,0.31457844
663.92993,0.31192628
664.06677,0.30913645
664.20361,0.30553615
664.34045,0.30254623
664.47729,0.3003208
664.61414,0.2980943
664.75098,0.295636
664.88782,0.29124054
665.02466,0.28655887
665.16144,0.28245378
665.29828,0.27961129
665.43512,0.27752498
665.57196,0.27543968
665.7088,0.27081415
665.84564,0.26719293
665.98248,0.26417023
666.11932,0.26125878
666.25616,0.26076064
666.39301,0.26324198
666.52985,0.26572224
666.66669,0.27022892
666.80353,0.27166691
666.94037,0.27196881
667.07715,0.27271268
667.21399,0.27392721
667.35083,0.27171329
667.48767,0.26949829
667.62451,0.26880494
667.76135,0.26698944
667.89819,0.2652998
668.03503,0.26334208
668.17188,0.26101518
668.30872,0.26158759
668.44556,0.2621603
668.5824,0.26452938
668.71924,0.26736104
668.85602,0.27162954
668.99286,0.27589604
669.1297,0.27986795
669.26654,0.28588784
669.40338,0.2919074
669.54022,0.29904282
669.67706,0.31119493
669.8139,0.32545358
669.95074,0.33971119
670.08759,0.35514393
670.22443,0.37129089
670.36127,0.38743824
670.49811,0.4026266
670.63495,0.41582203
670.77173,0.42969298
670.90857,0.44356257
671.04541,0.45754826
671.18225,0.4670206
671.31909,0.47625768
671.45593,0.48421785
671.59277,0.48831728
671.72961,0.49198759
671.86646,0.49565679
672.0033,0.49958783
672.14014,0.50102955
672.27698,0.50178134
672.41382,0.50252444
672.55066,0.50072938
672.68744,0.49797845
672.82428,0.49522683
672.96112,0.49059594
673.09796,0.48448101
673.2348,0.47829255
673.37164,0.47199568
673.50848,0.46333289
